R_values,D1_avg
1.024982885531981935e+01,1.051342665279277711e+01
1.044628172115185194e+01,9.663532197296214932e+00
1.064273458698388630e+01,8.896303510580388263e+00
1.083918745281591889e+01,8.202390013893678500e+00
1.103564031864795147e+01,7.573641842241820576e+00
1.123209318447998584e+01,7.002937918032955622e+00
1.142854605031201842e+01,6.484041097591654257e+00
1.162499891614405101e+01,6.011475753548051415e+00
1.182145178197608537e+01,5.580424012287716451e+00
1.201790464780811796e+01,5.186637552665142259e+00
1.221435751364015232e+01,4.826362425581710802e+00
1.241081037947218491e+01,4.496274801450264036e+00
1.260726324530421749e+01,4.193425915605147658e+00
1.280371611113625185e+01,3.915194777305835760e+00
1.300016897696828444e+01,3.659247449461512591e+00
1.319662184280031880e+01,3.423501904119468531e+00
1.339307470863235139e+01,3.206097621480629378e+00
1.358952757446438397e+01,3.005369234396968903e+00
1.378598044029641656e+01,2.819823631296794808e+00
1.398243330612845092e+01,2.648120022548535957e+00
1.417888617196048351e+01,2.489052551851378858e+00
1.437533903779251787e+01,2.341535098108726842e+00
1.457179190362455046e+01,2.204587966647145070e+00
1.476824476945658304e+01,2.077326213415975786e+00
1.496469763528861563e+01,1.958949383430123925e+00
1.516115050112064999e+01,1.848732476416632187e+00
1.535760336695268435e+01,1.746017979391542685e+00
1.555405623278471694e+01,1.650208828545922213e+00
1.575050909861674953e+01,1.560762182033514467e+00
1.594696196444878211e+01,1.477183901584422143e+00
1.614341483028081825e+01,1.399023654780849446e+00
1.633986769611284728e+01,1.325870561705241091e+00
1.653632056194488342e+01,1.257349319826616130e+00
1.673277342777691601e+01,1.193116749693404310e+00
1.692922629360894859e+01,1.132858711472376712e+00
1.712567915944098118e+01,1.076287348799768173e+00
1.732213202527301377e+01,1.023138621948147309e+00
1.751858489110504991e+01,9.731700970926604466e-01
1.771503775693708249e+01,9.261589625935410242e-01
1.791149062276911508e+01,8.819002467917741450e-01
1.810794348860114766e+01,8.402052149207828169e-01
1.830439635443318025e+01,8.008999254359039366e-01
1.850084922026521639e+01,7.638239284124432871e-01
1.869730208609724542e+01,7.288290907106206307e-01
1.889375495192928156e+01,6.957785343931640609e-01
1.909020781776131415e+01,6.645456764440544895e-01
1.928666068359334673e+01,6.350133592050464237e-01
1.948311354942538287e+01,6.070730621462014920e-01
1.967956641525741190e+01,5.806241866397994222e-01
1.987601928108944804e+01,5.555734063328799932e-01
2.007247214692148063e+01,5.318340765287594696e-01
2.026892501275351322e+01,5.093256967062553819e-01
2.046537787858554935e+01,4.879734209394721023e-01
2.066183074441757839e+01,4.677076115412707180e-01
2.085828361024961453e+01,4.484634317492809386e-01
2.105473647608164711e+01,4.301804737124418354e-01
2.125118934191367970e+01,4.128024184254515117e-01
2.144764220774571228e+01,3.962767246042896985e-01
2.164409507357774487e+01,3.805543438032818471e-01
2.184054793940978101e+01,3.655894593476534116e-01
2.203700080524181359e+01,3.513392468991352047e-01
2.223345367107384618e+01,3.377636546894184910e-01
2.242990653690587877e+01,3.248252016501982919e-01
2.262635940273791135e+01,3.124887918418341459e-01
2.282281226856994749e+01,3.007215437376813405e-01
2.301926513440197652e+01,2.894926330599493225e-01
2.321571800023401266e+01,2.787731479873418183e-01
2.341217086606604525e+01,2.685359556663571290e-01
2.360862373189807784e+01,2.587555790583263571e-01
2.380507659773011397e+01,2.494080832443657803e-01
2.400152946356214301e+01,2.404709703914440500e-01
2.419798232939417915e+01,2.319230826557332759e-01
2.439443519522621173e+01,2.237445123651796708e-01
2.459088806105824432e+01,2.159165188825293846e-01
2.478734092689028046e+01,2.084214516036052289e-01
2.498379379272230949e+01,2.012426785939997187e-01
2.518024665855434563e+01,1.943645204110987512e-01
2.537669952438637822e+01,1.877721886979461241e-01
2.557315239021841080e+01,1.814517291713063363e-01
2.576960525605044339e+01,1.753899686587944984e-01
2.596605812188247597e+01,1.695744658694177676e-01
2.616251098771451211e+01,1.639934656086403375e-01
2.635896385354654470e+01,1.586358561733972328e-01
2.655541671937857728e+01,1.534911296845875295e-01
2.675186958521060987e+01,1.485493451346912019e-01
2.694832245104264246e+01,1.438010939464623161e-01
2.714477531687467504e+01,1.392374678553358336e-01
2.734122818270671118e+01,1.348500289433944010e-01
2.753768104853874377e+01,1.306307816666201493e-01
2.773413391437077635e+01,1.265721467298226433e-01
2.793058678020280894e+01,1.226669366752122098e-01
2.812703964603484152e+01,1.189083330611649808e-01
2.832349251186687766e+01,1.152898651174063538e-01
2.851994537769891025e+01,1.118053897716981826e-01
2.871639824353094284e+01,1.084490729512287699e-01
2.891285110936297542e+01,1.052153720693417144e-01
2.910930397519500801e+01,1.020990196150582813e-01
2.930575684102704059e+01,9.909500776910470932e-02
2.950220970685907673e+01,9.619857397590182713e-02
2.969866257269110932e+01,9.340518740625086691e-02
2.989511543852314190e+01,9.071053625029969203e-02
3.009156830435517449e+01,8.811051578483709845e-02
3.028802117018720708e+01,8.560121716306598461e-02
3.048447403601924321e+01,8.317891687878715967e-02
3.068092690185127580e+01,8.084006686040856593e-02
3.087737976768330839e+01,7.858128515340204179e-02
3.107383263351534097e+01,7.639934715279253497e-02
3.127028549934737356e+01,7.429117734999340916e-02
3.146673836517940614e+01,7.225384156082420573e-02
3.166319123101144228e+01,7.028453960387524846e-02
3.185964409684347487e+01,6.838059840053617444e-02
3.205609696267551101e+01,6.653946546999425782e-02
3.225254982850754004e+01,6.475870279435019805e-02
3.244900269433956908e+01,6.303598103070084946e-02
3.264545556017160521e+01,6.136907404861718235e-02
3.284190842600364135e+01,5.975585377290568156e-02
3.303836129183567039e+01,5.819428531289530526e-02
3.323481415766770652e+01,5.668242236074848978e-02
3.343126702349974266e+01,5.521840284245926878e-02
3.362771988933177170e+01,5.380044480628121129e-02
3.382417275516380784e+01,5.242684253433271130e-02
3.402062562099584397e+01,5.109596286405943683e-02
3.421707848682787301e+01,4.980624170709863074e-02
3.441353135265990204e+01,4.855618075389657451e-02
3.460998421849193818e+01,4.734434435317941975e-02
3.480643708432397432e+01,4.616935655607408429e-02
3.500288995015600335e+01,4.502989831532466097e-02
3.519934281598803949e+01,4.392470483065444298e-02
3.539579568182007563e+01,4.285256303188652444e-02
3.559224854765210466e+01,4.181230919195964152e-02
3.578870141348413370e+01,4.080282666246590889e-02
3.598515427931617694e+01,3.982304372479308213e-02
3.618160714514820597e+01,3.887193155037959452e-02
3.637806001098023501e+01,3.794850226398708420e-02
3.657451287681227114e+01,3.705180710426816265e-02
3.677096574264430728e+01,3.618093467625178167e-02
3.696741860847633632e+01,3.533500929069326862e-02
3.716387147430837246e+01,3.451318938553899623e-02
3.736032434014040859e+01,3.371466602503884330e-02
3.755677720597243763e+01,3.293866147230385677e-02
3.775323007180446666e+01,3.218442783135516683e-02
3.794968293763650280e+01,3.145124575494209068e-02
3.814613580346853894e+01,3.073842321462454466e-02
3.834258866930056797e+01,3.004529432981841233e-02
3.853904153513260411e+01,2.937121825269372460e-02
3.873549440096464025e+01,2.871557810599427787e-02
3.893194726679666928e+01,2.807777997101466513e-02
3.912840013262869832e+01,2.745725192312850269e-02
3.932485299846074156e+01,2.685344311240929482e-02
3.952130586429277059e+01,2.626582288702388260e-02
3.971775873012479963e+01,2.569387995720806908e-02
3.991421159595683577e+01,2.513712159775757793e-02
4.011066446178887190e+01,2.459507288708105352e-02
4.030711732762090094e+01,2.406727598097035264e-02
4.050357019345293708e+01,2.355328941934489023e-02
4.070002305928497321e+01,2.305268746432240570e-02
4.089647592511700225e+01,2.256505946805775764e-02
4.109292879094903128e+01,2.209000926887642186e-02
4.128938165678106742e+01,2.162715461430882169e-02
4.148583452261310356e+01,2.117612660970625074e-02
4.168228738844513259e+01,2.073656919118990055e-02
4.187874025427716873e+01,2.030813862175091106e-02
4.207519312010920487e+01,1.989050300938218288e-02
4.227164598594123390e+01,1.948334184618130335e-02
4.246809885177327004e+01,1.908634556741993851e-02
4.266455171760529907e+01,1.869921512962768526e-02
4.286100458343733521e+01,1.832166160678728659e-02
4.305745744926937135e+01,1.795340580378573456e-02
4.325391031510140039e+01,1.759417788630905297e-02
4.345036318093343652e+01,1.724371702641080972e-02
4.364681604676546556e+01,1.690177106302361357e-02
4.384326891259750170e+01,1.656809617671971269e-02
4.403972177842953073e+01,1.624245657806254808e-02
4.423617464426156687e+01,1.592462420892355734e-02
4.443262751009360301e+01,1.561437845617066889e-02
4.462908037592563204e+01,1.531150587716402674e-02
4.482553324175766818e+01,1.501579993652281397e-02
4.502198610758969721e+01,1.472706075365374720e-02
4.521843897342173335e+01,1.444509486055647017e-02
4.541489183925376949e+01,1.416971496944553939e-02
4.561134470508579852e+01,1.390073974975056942e-02
4.580779757091783466e+01,1.363799361407788506e-02
4.600425043674986370e+01,1.338130651273714868e-02
4.620070330258189983e+01,1.313051373645531504e-02
4.639715616841393597e+01,1.288545572691891621e-02
4.659360903424596501e+01,1.264597789480232867e-02
4.679006190007800114e+01,1.241193044495639101e-02
4.698651476591003018e+01,1.218316820844710623e-02
4.718296763174206632e+01,1.195955048114865499e-02
4.737942049757409535e+01,1.174094086860920892e-02
4.757587336340613149e+01,1.152720713692082996e-02
4.777232622923816763e+01,1.131822106933775759e-02
4.796877909507019666e+01,1.111385832839881932e-02
4.816523196090223280e+01,1.091399832332133960e-02
4.836168482673426183e+01,1.071852408244459640e-02
4.855813769256629797e+01,1.052732213051087856e-02
4.875459055839833411e+01,1.034028237058222562e-02
4.895104342423036314e+01,1.015729797039984818e-02
4.914749629006239928e+01,9.978265253002108898e-03
4.934394915589442832e+01,9.803083591425391929e-03
4.954040202172646445e+01,9.631655307319785322e-03
4.973685488755850059e+01,9.463885573319457886e-03
4.993330775339052963e+01,9.299682319014372298e-03
5.012976061922256577e+01,9.138956140377079915e-03
5.032621348505459480e+01,8.981620212504750830e-03
5.052266635088663094e+01,8.827590205542665963e-03
5.071911921671866708e+01,8.676784203661507683e-03
5.091557208255069611e+01,8.529122626966119738e-03
5.111202494838273225e+01,8.384528156218972253e-03
5.130847781421476128e+01,8.242925660266561816e-03
5.150493068004679742e+01,8.104242126061721174e-03
5.170138354587882645e+01,7.968406591179706677e-03
5.189783641171086259e+01,7.835350078729942311e-03
5.209428927754289873e+01,7.705005534569925665e-03
5.229074214337492776e+01,7.577307766731408538e-03
5.248719500920696390e+01,7.452193386973059684e-03
5.268364787503899294e+01,7.329600754377367348e-03
5.288010074087102907e+01,7.209469920912905429e-03
5.307655360670306521e+01,7.091742578886632911e-03
5.327300647253509425e+01,6.976362010213807939e-03
5.346945933836713039e+01,6.863273037436300184e-03
5.366591220419915942e+01,6.752421976422914515e-03
5.386236507003119556e+01,6.643756590688001777e-03
5.405881793586323170e+01,6.537226047267463529e-03
5.425527080169526073e+01,6.432780874093534454e-03
5.445172366752729687e+01,6.330372918812277039e-03
5.464817653335932590e+01,6.229955308990037244e-03
5.484462939919136204e+01,6.131482413657121308e-03
5.504108226502339107e+01,6.034909806139305243e-03
5.523753513085542721e+01,5.940194228129521553e-03
5.543398799668746335e+01,5.847293554954234411e-03
5.563044086251949238e+01,5.756166761990650325e-03
5.582689372835152852e+01,5.666773892192750184e-03
5.602334659418355756e+01,5.579076024685850239e-03
5.621979946001559370e+01,5.493035244390854187e-03
5.641625232584762983e+01,5.408614612641081919e-03
5.661270519167965887e+01,5.325778138755854658e-03
5.680915805751169501e+01,5.244490752536531443e-03
5.700561092334372404e+01,5.164718277652039814e-03
5.720206378917576018e+01,5.086427405882106706e-03
5.739851665500779632e+01,5.009585672187832732e-03
5.759496952083982535e+01,4.934161430580232335e-03
5.779142238667186149e+01,4.860123830758617328e-03
5.798787525250389052e+01,4.787442795491793357e-03
5.818432811833592666e+01,4.716088998715946105e-03
5.838078098416796280e+01,4.646033844324303115e-03
5.857723384999999183e+01,4.577249445624367516e-03
5.877368671583202797e+01,4.509708605439657902e-03
5.897013958166405700e+01,4.443384796833626735e-03
5.916659244749609314e+01,4.378252144434297000e-03
5.936304531332812218e+01,4.314285406339032035e-03
5.955949817916015832e+01,4.251459956579505678e-03
5.975595104499219445e+01,4.189751768127832413e-03
5.995240391082422349e+01,4.129137396425377506e-03
6.014885677665625963e+01,4.069593963416561627e-03
6.034530964248828866e+01,4.011099142070605889e-03
6.054176250832032480e+01,3.953631141374727882e-03
6.073821537415236094e+01,3.897168691783027029e-03
6.093466823998438997e+01,3.841691031105738587e-03
6.113112110581642611e+01,3.787177890824207447e-03
6.132757397164845514e+01,3.733609482817421606e-03
6.152402683748049128e+01,3.680966486486422252e-03
6.172047970331252742e+01,3.629230036263501099e-03
6.191693256914455645e+01,3.578381709493450372e-03
6.211338543497659259e+01,3.528403514674680313e-03
6.230983830080862163e+01,3.479277880048431502e-03
6.250629116664065776e+01,3.430987642524677920e-03
6.270274403247268680e+01,3.383516036933828866e-03
6.289919689830472294e+01,3.336846685593597168e-03
6.309564976413675907e+01,3.290963588180906372e-03
6.329210262996878811e+01,3.245851111898958967e-03
6.348855549580082425e+01,3.201493981929995781e-03
6.368500836163285328e+01,3.157877272164617138e-03
6.388146122746488942e+01,3.114986396198784861e-03
6.407791409329692556e+01,3.072807098590039660e-03
6.427436695912895459e+01,3.031325446364657554e-03
6.447081982496098362e+01,2.990527820767830205e-03
6.466727269079302687e+01,2.950400909249197359e-03
6.486372555662505590e+01,2.910931697676335823e-03
6.506017842245708493e+01,2.872107462769019331e-03
6.525663128828912818e+01,2.833915764747403643e-03
6.545308415412115721e+01,2.796344440187434766e-03
6.564953701995318625e+01,2.759381595077019765e-03
6.584598988578522949e+01,2.723015598066791474e-03
6.604244275161725852e+01,2.687235073909419441e-03
6.623889561744928756e+01,2.652028897081650568e-03
6.643534848328133080e+01,2.617386185583498413e-03
6.663180134911334562e+01,2.583296294909148000e-03
6.682825421494538887e+01,2.549748812184283054e-03
6.702470708077741790e+01,2.516733550464875669e-03
6.722115994660944693e+01,2.484240543192408994e-03
6.741761281244149018e+01,2.452260038800896901e-03
6.761406567827351921e+01,2.420782495471081926e-03
6.781051854410554824e+01,2.389798576027359327e-03
6.800697140993759149e+01,2.359299142973191477e-03
6.820342427576962052e+01,2.329275253660844074e-03
6.839987714160164956e+01,2.299718155591417429e-03
6.859633000743369280e+01,2.270619281841335189e-03
6.879278287326572183e+01,2.241970246611524852e-03
6.898923573909775087e+01,2.213762840895627197e-03
6.918568860492979411e+01,2.185989028263784703e-03
6.938214147076182314e+01,2.158640940758559459e-03
6.957859433659385218e+01,2.131710874899706270e-03
6.977504720242589542e+01,2.105191287794624683e-03
6.997150006825791024e+01,2.079074793351409073e-03
7.016795293408995349e+01,2.053354158591472710e-03
7.036440579992198252e+01,2.028022300058940353e-03
7.056085866575401155e+01,2.003072280323908889e-03
7.075731153158605480e+01,1.978497304576947065e-03
7.095376439741808383e+01,1.954290717312177125e-03
7.115021726325011286e+01,1.930445999096390506e-03
7.134667012908215611e+01,1.906956763421753997e-03
7.154312299491418514e+01,1.883816753639718953e-03
7.173957586074621418e+01,1.861019839973801450e-03
7.193602872657825742e+01,1.838560016609025504e-03
7.213248159241028645e+01,1.816431398855845999e-03
7.232893445824231549e+01,1.794628220386434731e-03
7.252538732407435873e+01,1.773144830541322284e-03
7.272184018990638776e+01,1.751975691704402757e-03
7.291829305573841680e+01,1.731115376744378617e-03
7.311474592157046004e+01,1.710558566520815546e-03
7.331119878740247486e+01,1.690300047452993407e-03
7.350765165323451811e+01,1.670334709149793023e-03
7.370410451906656135e+01,1.650657542098975554e-03
7.390055738489857617e+01,1.631263635414158556e-03
7.409701025073061942e+01,1.612148174637925962e-03
7.429346311656264845e+01,1.593306439599549316e-03
7.448991598239467748e+01,1.574733802325773780e-03
7.468636884822672073e+01,1.556425725003263106e-03
7.488282171405874976e+01,1.538377757991277227e-03
7.507927457989077880e+01,1.520585537883207021e-03
7.527572744572282204e+01,1.503044785615661322e-03
7.547218031155485107e+01,1.485751304623810333e-03
7.566863317738688011e+01,1.468700979041726463e-03
7.586508604321892335e+01,1.451889771946530397e-03
7.606153890905095238e+01,1.435313723645160631e-03
7.625799177488298142e+01,1.418968950002609400e-03
7.645444464071501045e+01,1.402851640810543832e-03
7.665089750654705369e+01,1.386958058195214907e-03
7.684735037237908273e+01,1.371284535063627043e-03
7.704380323821111176e+01,1.355827473586932461e-03
7.724025610404315501e+01,1.340583343720091894e-03
7.743670896987518404e+01,1.325548681756830421e-03
7.763316183570721307e+01,1.310720088918955126e-03
7.782961470153924211e+01,1.296094229979149028e-03
7.802606756737128535e+01,1.281667831916352002e-03
7.822252043320331438e+01,1.267437682602888223e-03
7.841897329903534342e+01,1.253400629522495764e-03
7.861542616486738666e+01,1.239553578518479875e-03
7.881187903069941569e+01,1.225893492571194154e-03
7.900833189653144473e+01,1.212417390604086974e-03
7.920478476236348797e+01,1.199122346317592824e-03
7.940123762819551700e+01,1.186005487050143014e-03
7.959769049402754604e+01,1.173063992665593401e-03
7.979414335985957507e+01,1.160295094466406692e-03
7.999059622569161832e+01,1.147696074131924690e-03
8.018704909152364735e+01,1.135264262681092134e-03
8.038350195735567638e+01,1.122997039459005001e-03
8.057995482318771963e+01,1.110891831146692621e-03
8.077640768901974866e+01,1.098946110793537490e-03
8.097286055485177769e+01,1.087157396871757950e-03
8.116931342068380673e+01,1.075523252352409039e-03
8.136576628651584997e+01,1.064041283802352874e-03
8.156221915234787900e+01,1.052709140501681016e-03
8.175867201817990804e+01,1.041524513581065532e-03
8.195512488401195128e+01,1.030485135178556538e-03
8.215157774984398031e+01,1.019588777615336797e-03
8.234803061567600935e+01,1.008833252589955241e-03
8.254448348150805259e+01,9.982164103905966264e-04
8.274093634734008162e+01,9.877361391249341385e-04
8.293738921317211066e+01,9.773903639671273434e-04
8.313384207900413969e+01,9.671770464215553474e-04
8.333029494483618294e+01,9.570941836028660056e-04
8.352674781066821197e+01,9.471398075319486989e-04
8.372320067650024100e+01,9.373119844474316932e-04
8.391965354233228425e+01,9.276088141323413083e-04
8.411610640816431328e+01,9.180284292555435316e-04
8.431255927399634231e+01,9.085689947276097498e-04
8.450901213982837135e+01,8.992287070707665917e-04
8.470546500566041459e+01,8.900057938025812037e-04
8.490191787149244362e+01,8.808985128330589724e-04
8.509837073732447266e+01,8.719051518748209550e-04
8.529482360315651590e+01,8.630240278660622098e-04
8.549127646898854493e+01,8.542534864059754150e-04
8.568772933482057397e+01,8.455919012023421647e-04
8.588418220065261721e+01,8.370376735310092881e-04
8.608063506648464625e+01,8.285892317069658069e-04
8.627708793231667528e+01,8.202450305667383134e-04
8.647354079814870431e+01,8.120035509618498716e-04
8.666999366398074756e+01,8.038632992630713936e-04
8.686644652981277659e+01,7.958228068752196994e-04
8.706289939564480562e+01,7.878806297622444402e-04
8.725935226147684887e+01,7.800353479823745727e-04
8.745580512730887790e+01,7.722855652330838042e-04
8.765225799314090693e+01,7.646299084056420092e-04
8.784871085897293597e+01,7.570670271490387076e-04
8.804516372480497921e+01,7.495955934430537397e-04
8.824161659063700824e+01,7.422143011802693558e-04
8.843806945646903728e+01,7.349218657568079658e-04
8.863452232230108052e+01,7.277170236716061372e-04
8.883097518813310955e+01,7.205985321340213374e-04
8.902742805396513859e+01,7.135651686795779986e-04
8.922388091979718183e+01,7.066157307936739036e-04
8.942033378562921087e+01,6.997490355430619272e-04
8.961678665146123990e+01,6.929639192149233615e-04
8.981323951729326893e+01,6.862592369633727964e-04
9.000969238312531218e+01,6.796338624632129516e-04
9.020614524895734121e+01,6.730866875707875634e-04
9.040259811478937024e+01,6.666166219917579868e-04
9.059905098062141349e+01,6.602225929556601808e-04
9.079550384645344252e+01,6.539035448970846511e-04
9.099195671228547155e+01,6.476584391433250687e-04
9.118840957811751480e+01,6.414862536083605800e-04
9.138486244394954383e+01,6.353859824930247922e-04
9.158131530978157286e+01,6.293566359912200524e-04
9.177776817561360190e+01,6.233972400020509289e-04
9.197422104144564514e+01,6.175068358477377910e-04
9.217067390727767418e+01,6.116844799971881894e-04
9.236712677310970321e+01,6.059292437950935476e-04
9.256357963894174645e+01,6.002402131964367817e-04
9.276003250477377549e+01,5.946164885062903919e-04
9.295648537060580452e+01,5.890571841247803451e-04
9.315293823643783355e+01,5.835614282971153489e-04
9.334939110226987680e+01,5.781283628685604135e-04
9.354584396810190583e+01,5.727571430442534358e-04
9.374229683393393486e+01,5.674469371537517242e-04
9.393874969976597811e+01,5.621969264202143551e-04
9.413520256559800714e+01,5.570063047341147593e-04
9.433165543143003617e+01,5.518742784313830337e-04
9.452810829726207942e+01,5.468000660758880974e-04
9.472456116309410845e+01,5.417828982461641739e-04
9.492101402892613748e+01,5.368220173262854304e-04
9.511746689475816652e+01,5.319166773008064848e-04
9.531391976059020976e+01,5.270661435536774884e-04
9.551037262642223880e+01,5.222696926710514945e-04
9.570682549225426783e+01,5.175266122478957512e-04
9.590327835808631107e+01,5.128362006983328654e-04
9.609973122391834011e+01,5.081977670696287896e-04
9.629618408975036914e+01,5.036106308597474010e-04
9.649263695558239817e+01,4.990741218384034741e-04
9.668908982141444142e+01,4.945875798715326267e-04
9.688554268724647045e+01,4.901503547491123164e-04
9.708199555307849948e+01,4.857618060162571284e-04
9.727844841891054273e+01,4.814213028075251454e-04
9.747490128474257176e+01,4.771282236843663884e-04
9.767135415057460079e+01,4.728819564756443208e-04
9.786780701640664404e+01,4.686818981211710012e-04
9.806425988223867307e+01,4.645274545181915906e-04
9.826071274807070210e+01,4.604180403707531090e-04
9.845716561390273114e+01,4.563530790419042605e-04
9.865361847973477438e+01,4.523320024086614917e-04
9.885007134556680342e+01,4.483542507196897303e-04
9.904652421139883245e+01,4.444192724556342679e-04
9.924297707723087569e+01,4.405265241920577109e-04
9.943942994306290473e+01,4.366754704649237757e-04
9.963588280889493376e+01,4.328655836385736648e-04
9.983233567472696279e+01,4.290963437761497585e-04
1.000287885405590060e+02,4.253672385124118694e-04
1.002252414063910351e+02,4.216777629289001988e-04
1.004216942722230641e+02,4.180274194313936568e-04
1.006181471380551073e+02,4.144157176296212096e-04
1.008146000038871364e+02,4.108421742191789810e-04
1.010110528697191654e+02,4.073063128656051338e-04
1.012075057355512087e+02,4.038076640905750164e-04
1.014039586013832377e+02,4.003457651601695757e-04
1.016004114672152667e+02,3.969201599751752928e-04
1.017968643330472958e+02,3.935303989633774256e-04
1.019933171988793390e+02,3.901760389738048685e-04
1.021897700647113680e+02,3.868566431728879791e-04
1.023862229305433971e+02,3.835717809424897973e-04
1.025826757963754403e+02,3.803210277797763428e-04
1.027791286622074693e+02,3.771039651988875008e-04
1.029755815280394984e+02,3.739201806343710925e-04
1.031720343938715274e+02,3.707692673463492284e-04
1.033684872597035707e+02,3.676508243273792702e-04
1.035649401255355997e+02,3.645644562109782300e-04
1.037613929913676287e+02,3.615097731817748278e-04
1.039578458571996720e+02,3.584863908872611268e-04
1.041542987230317010e+02,3.554939303511100274e-04
1.043507515888637300e+02,3.525320178880269619e-04
1.045472044546957733e+02,3.496002850201082503e-04
1.047436573205278023e+02,3.466983683946764112e-04
1.049401101863598313e+02,3.438259097035601709e-04
1.051365630521918604e+02,3.409825556037965680e-04
1.053330159180239036e+02,3.381679576397226238e-04
1.055294687838559327e+02,3.353817721664338137e-04
1.057259216496879617e+02,3.326236602745781664e-04
1.059223745155200049e+02,3.298932877164651215e-04
1.061188273813520340e+02,3.271903248334612799e-04
1.063152802471840630e+02,3.245144464846470823e-04
1.065117331130161062e+02,3.218653319767133809e-04
1.067081859788481353e+02,3.192426649950724261e-04
1.069046388446801643e+02,3.166461335361585479e-04
1.071010917105121933e+02,3.140754298408991794e-04
1.072975445763442366e+02,3.115302503293310155e-04
1.074939974421762656e+02,3.090102955363418428e-04
1.076904503080082947e+02,3.065152700485135957e-04
1.078869031738403379e+02,3.040448824420491250e-04
1.080833560396723669e+02,3.015988452217610517e-04
